outer_fold,best_n_knots,best_lambda,best_lr,best_steps,outer_mse,outer_rmse,outer_r2,final_best_n_knots,final_best_lambda,final_best_lr,final_best_steps,holdout_train_rmse,holdout_test_rmse,holdout_test_r2
1,10,0.01,0.03,3000,993.4367026500948,31.51883092137294,0.6528880501316143,10,0.01,0.03,3000,27.67581096653641,26.588875553008464,0.5856660481053029
2,10,0.001,0.03,3000,1146.9229251050367,33.86625053213061,0.47898859062846644,10,0.01,0.03,3000,27.67581096653641,26.588875553008464,0.5856660481053029
3,10,0.001,0.03,3000,558.222181408205,23.626725998500195,0.728522331910346,10,0.01,0.03,3000,27.67581096653641,26.588875553008464,0.5856660481053029
4,10,0.01,0.03,3000,712.5691372636676,26.693990658267406,0.5889973966072553,10,0.01,0.03,3000,27.67581096653641,26.588875553008464,0.5856660481053029
5,10,0.001,0.03,3000,859.5710180844693,29.318441603954145,0.68813219571453,10,0.01,0.03,3000,27.67581096653641,26.588875553008464,0.5856660481053029
